folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0102339419,1,01,1,5,1,1,2, , , , , , , , ,1,1,1,0,0, , ,1,1,0,0, , ,2700,1144,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,4080,0,3860,0,997.82,0,944.02,52.82,0
0102339419,1,02,2,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,1200,0,12000,0,293.47,0,2934.78,0,2641.3
0102339419,1,02,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,183000,11600,1, , , , , , , ,18000, , , , ,2, , , , , , , , , ,2,4,15000,0,0,28850,3668.47,0,0,7055.7,0,3386.73
0102339605,1,01,1,4,1, ,2, , , , , , , , ,1,1,0,1,0, , ,1,0,1,0, , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,19600,2800,0,14250,4819.67,688.52,0,3504.09,2003.6,0
0102339605,1,01,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , ,314000,15000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,65250,12320,0,15000,16045.08,3029.5,0,3688.52,15385.57,0
0102339613,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,32000,2, , , , , , , , ,950,05, , ,2, , , , , , , , , ,2,4,0,0,0,16300,0,0,0,4008.19,0,4007.21
0102339613,1,01,1,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,45000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,0,0,0,64900,0,0,0,15959.01,0,15958.03
0102339814,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,200000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,116000,0,0,174000,28524.59,0,0,42786.88,0,14261.31
0102339814,1,01,1,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,60000,0,0,33000,14754.09,0,0,8114.75,6639.34,0
0160009814,1,01,2,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,2000,2, , , , , , , , ,4800,09, , ,2, , , , , , , , , ,2,4,0,2000,0,6234,0,491.8,0,1532.95,0,1038.68
0160009908,1,01,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,7000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,44788,0,0,0,10953.58,0,10952.6
0160009908,1,01,1,5,1,1,1, , , ,4, , , , , ,1,1,0,1,1,0,0, , ,0, , ,345000,128000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,476400,8000,0,242800,116510.86,1956.52,0,59380.43,59085.97,0
0160015012,1,01,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,70000,2000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,0,2300,0,3250,0,562.49,0,794.83,0,231.84
0160015721,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,15500, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,7930,0,0,0,1949.99,0,1947.54
0160027507,1,01,1,4,1, ,1, , , , ,5, , , , ,8,4,4,8,4,4,0, , ,0, , ,24000, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,465000,1500,0,356000,113722.82,366.84,0,87065.21,27023.47,0
0160027510,1,01,1,4,1, ,2, , , , , , , , ,6,8,5,3,8,5,3,0, , ,0, , , ,20000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,361688,0,0,231200,88456.3,0,0,56543.47,31912.82,0
0160028021,1,02,1,4,1, ,2, , , , , , , , ,3,3,3,0,3,3,0,0, , ,0, , ,67368,15000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,112000,5394,0,58100,27391.3,1319.18,0,14209.23,14500.76,0
0160028021,1,02,1,5,1,2,2, , , , , , , , ,3,0, , , , , , , , , , , , ,6000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,144000,0,0,27940,35217.39,0,0,6833.15,28382.28,0
0160028318,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,7550,2190,0,8350,1846.46,535.59,0,2042.11,337.49,0
0160028402,1,01,1,4,1, ,1, ,2, , ,5, , , , ,6,6,0,6,6,0,0, , ,0, , , ,50000,2, , , , , , , , ,15000,02, , ,2, , , , , , , , , ,2,3,392000,2050,0,704600,95869.56,501.35,0,172320.65,0,75949.23
0160028402,1,01,1,5,1,2,1, ,2, , ,5, , , , ,6,6,0,6,6,0,0, , ,0, , ,90000,510000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,540000,0,0,239500,132065.21,0,0,58573.36,73489.89,0
0160036619,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,6000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,3000,60,0,105000,737.7,14.75,0,25819.67,0,25067.21
0160036621,1,01,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,20000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,3300,0,4800,0,811.47,0,1180.32,0,368.85
0160036621,1,01,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,60000,12000,1, , , , , , , ,36400, , , , ,2, , , , , , , , , ,2,4,25200,0,0,36400,6196.72,0,0,8950.81,0,2753.11
0160038323,1,01,2,4,1, ,2, , , , , , , , ,6,1,1,0,0, , ,0, , ,1,1,0, ,11000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,5950,0,0,0,1455.16,0,1452.71
0160038323,1,01,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,38000, ,2, , , , , , , , ,3300,02, , ,2, , , , , , , , , ,2,4,52000,6000,0,3100,12717.39,1467.39,0,758.15,13426.63,0
0160038409,1,01,1,6,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,10600,800,0,50,2592.39,195.65,0,12.22,2773.36,0
0160038410,1,01,1,4,1, ,2, , , , , , , , ,1,1,1,0,1,1,0,0, , ,0, , , ,50000,2, , , , , , , , ,2100,05, , ,2, , , , , , , , , ,2,4,0,0,0,22080,0,0,0,5399.99,0,5399.99
0160038412,1,01,2,4,1, ,2, , , , , , , , ,6,3,2,1,0, , ,2,1,1,1,1,0, ,11000,1, , , , , , ,15200, , , , , ,2, , , , , , , , , ,2,4,0,0,0,15200,0,0,0,3717.39,0,3715.43
0160038803,1,01,2,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,210, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,600,0,480,0,147.54,0,118.03,29.5,0
0160040524,1,01,1,4,1, ,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , , ,150000,1, , , , , , , ,12000, , , , ,2, , , , , , , , , ,2,4,117000,1000,0,91000,28614.13,244.56,0,22255.43,6603.26,0
0160040715,1,01,1,4,1, ,2, , , , , , , , ,1,7,6,1,1,1,0,1,0,1,5,5,0, ,50000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,265000,500,0,148500,65163.93,122.95,0,36516.39,28770.49,0
0160040717,1,02,2,4,1, ,2, , , , , , , , ,2,2,2,0,2,2,0,0, , ,0, , , ,30000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,8000,0,0,70500,1967.21,0,0,17336.06,0,15367.86
0160040717,1,02,2,5,1,2,2, , , , , , , , ,2,1,1,0,1,1,0,0, , ,0, , , ,100000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,36000,0,0,250000,8852.45,0,0,61475.4,0,52621.96
0160064723,1,01,2,5,1,1,2, , , , , , , , ,1,2,2,0,1,1,0,0, , ,1,1,0,90000,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,200881,6789,0,144400,49396.96,1669.42,0,35508.19,15556.72,0
0160065414,1,01,2,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,7600,0,0,0,1858.69,0,1857.71
0160065414,1,01,2,5,1,2,1, ,2, , , , , , , ,0, , , , , , , , , , , ,50500,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,86800,0,6000,1599,21228.26,0,1467.39,391.05,22304.34,0
0160065919,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,36000, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,47600,2800,1500,61000,11641.3,684.78,366.84,14918.47,0,2224.56
0160066011,1,01,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,20000,12000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,42800,0,0,0,10467.39,0,10465.43
0160066724,1,02,1,5,1,1,2, , , , , , , , ,7,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,1830,0,1680,0,449.99,0,413.11,35.4,0
0160079911,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,6700,0,0,0,1638.58,0,1637.6
0160079911,1,01,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , ,80000,20000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,143080,4088,0,63560,34992.39,999.78,0,15544.56,20446.63,0
0160083620,1,02,1,4,1, ,2, , , , , , , , ,6,2,2,0,0, , ,1,1,0,1,1,0, , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,620,0,7300,0,152.45,0,1795.08,0,1640.65
0160083621,1,01,1,4,2,1,2, , , , , , , , ,1,1,1,0,1,1,0,0, , ,0, , , , ,2, , , , , , , , ,18000,08, , ,2, , , , , , , , , ,2,4,0,0,0,26400,0,0,0,6491.8,0,6491.8
0160083624,1,02,1,6,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,1120,480,0,520,275.4,118.03,0,127.86,265.57,0
0160083707,1,01,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,38000,2, , , , , , , , ,1900,04, , ,2, , , , , , , , , ,2,4,0,0,0,38000,0,0,0,9344.26,0,9342.29
