folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
0808455302,1,TB12,11600,5500,5673.91
0808455318,1,TB02,590, ,1712.9
0808455318,1,TB03,522, ,1515.48
0808925813,1,TB04,1400, ,4200
0808966523,1,TB11,1600,0,782.6
0808966718,1,TB10,2769,1983,2708.8
0808990420,1,TB02,585, ,1698.38
0808990420,1,TB01,3000, ,8709.67
0860059403,1,TB13,4000,4000,1956.52
0860059403,1,TB05,367, ,1065.48
0860140423,1,TB05,1000, ,2903.22
0860140423,1,TB12,300,300,146.73
0860140423,1,TB11,3800,0,1858.69
0860140423,1,TB08,2100,1600,2054.34
0860140423,1,TB02,637, ,1849.35
0860140423,1,TB03,566, ,1643.22
0860320313,1,TB02,1057, ,3068.7
0860320313,1,TB01,7000, ,20322.58
0860320313,1,TB03,1632, ,4738.06
0860320313,1,TB14,7000,7000,3423.91
0860460316,1,TB08,290,290,283.69
0860600317,1,TB08,800,800,782.6
0860600317,1,TB03,603, ,1750.64
0860600317,1,TB02,1251, ,3631.93
0860713303,1,TB01,2500, ,7258.06
0860713304,1,TB07,1600, ,4645.16
0860713304,1,TB03,646, ,1875.48
0860713304,1,TB06,600, ,1741.93
0860713304,1,TB05,2000, ,5806.45
0860790319,1,TB12,550,550,269.02
0860885504,1,TB13,4400,4400,2152.17
0860915917,1,TB09,7000,2400,6847.82
0860915917,1,TB13,20000,3300,9782.6
0900070304,1,TB09,780,260,763.04
0900108002,1,TB08,2000,2000,1956.52
0900108003,1,TB07,2100, ,6096.77
0900108003,1,TB04,5500, ,15967.74
0900108003,1,TB10,1500,0,1467.39
0900108003,1,TB15,14500,2900,7092.39
0900108006,1,TB14,15000,15000,7336.95
0900171203,1,TB01,600, ,1741.93
0900171203,1,TB12,24114,2448,11924.5
0900191701,1,TB10,13000,13000,12717.39
0900191706,1,TB04,469, ,1407
0900191706,1,TB08,1930,1850,1888.04
0900319801,1,TB02,240, ,720
0900319801,1,TB03,342, ,1026
0900582002,1,TB12,1082,541,529.23
0900641201,1,TB01,2000, ,5806.45
0900641201,1,TB02,514, ,1492.25
0900641201,1,TB03,646, ,1875.48
0900641201,1,TB07,1000, ,2903.22
0900641203,1,TB01,2000, ,5806.45
0900641204,1,TB01,6000, ,17419.35
0900769202,1,TB07,400, ,1161.29
0900769202,1,TB03,60, ,174.19
0900769202,1,TB02,235, ,682.25
0900769202,1,TB01,1500, ,4354.83
0900769206,1,TB01,4000, ,11612.9
0900769206,1,TB02,857, ,2488.06
0900769206,1,TB03,195, ,566.12
0900769206,1,TB08,2880,2880,2817.39
0900769206,1,TB12,2400,0,1186.81
0900903701,1,TB10,2350,2270,2298.91
0900903701,1,TB02,944, ,2832
0900903701,1,TB03,1058, ,3174
0900903701,1,TB04,393, ,1179
0900903701,1,TB08,4560,0,4460.86
0900903701,1,TB01,4000, ,12000
0900903701,1,TB11,110000,15000,54098.36
0900903704,1,TB08,3210,0,3140.21
0900903706,1,TB11,5000,0,2459.01
0900907601,1,TB07,848, ,2544
0900907601,1,TB01,867, ,2601
0901075404,1,TB08,5790,0,5664.13
0901075404,1,TB11,3100,0,1516.3
0901075405,1,TB08,1955,0,1912.49
0901195902,1,TB08,800,0,782.6
0901195905,1,TB08,3790,0,3707.6
0901340503,1,TB04,360, ,1045.16
0901340503,1,TB12,16300,3300,7972.82
0901340505,1,TB08,1500,1500,1467.39
0901358304,1,TB02,590, ,1712.9
0901358304,1,TB13,2300,0,1124.99
0901358305,1,TB02,1200, ,3483.87
0901358305,1,TB03,280, ,812.9
0901535505,1,TB08,1774,1774,1735.43
0901537804,1,TB08,775,0,758.15
0901537805,1,TB08,1750,0,1711.95
0901698002,1,TB10,2500,2500,2445.65
0901763506,1,TB14,3300,550,1614.13
0901960601,1,TB05,500, ,1500
0901960601,1,TB11,14500,0,7131.14
0901960601,1,TB13,5000,0,2459.01
0901960603,1,TB09,1330,1330,1301.08
0901960604,1,TB03,978, ,2934
0901960604,1,TB01,500, ,1500
0901960604,1,TB04,159, ,477
0901960604,1,TB06,300, ,900
0901960604,1,TB10,1180,1180,1154.34
0901960604,1,TB12,248,248,121.96
0901960604,1,TB02,414, ,1242
0901960605,1,TB04,1400, ,4200
0901985802,1,TB08,550,550,538.04
0902080903,1,TB08,4095,0,4005.97
0902080906,1,TB08,3565,0,3487.49
0902275502,1,TB08,1360,0,1330.43
0902414401,1,TB10,698,0,682.82
0902425902,1,TB03,1500, ,4354.83
0902425903,1,TB02,1140, ,3309.67
0902425903,1,TB05,3000, ,8709.67
0902425903,1,TB03,1995, ,5791.93
0902425904,1,TB09,1000,0,978.26
0902425904,1,TB10,2800,0,2739.13
0902425904,1,TB11,1500,0,733.69
0902425904,1,TB13,10000,0,4891.3
0902425904,1,TB08,5200,0,5086.95
0902425906,1,TB02,1860, ,5399.99
0902425906,1,TB07,1350, ,3919.35
0902425906,1,TB10,5600,1700,5478.26
0902425906,1,TB13,6000,0,2934.78
0902425906,1,TB03,500, ,1451.61
0902535302,1,TB11,295,0,144.29
0902535302,1,TB01,6000, ,17419.35
0902535302,1,TB08,2432,0,2379.13
0902535302,1,TB09,768,0,751.3
0902535302,1,TB10,493,0,482.28
0902535303,1,TB08,2819,0,2757.71
0902535303,1,TB01,2000, ,5806.45
0902535305,1,TB09,139,139,135.97
0902535305,1,TB03,840, ,2438.7
0902535305,1,TB02,843, ,2447.41
0902535305,1,TB01,4000, ,11612.9
0902535305,1,TR01,1000, ,2903.22
0902540002,1,TB11,1800,600,880.43
0902543606,1,TB05,1800, ,5400
0902543606,1,TB03,170, ,510
0902543606,1,TB02,15, ,45
0902543606,1,TB01,1000, ,3000
0902543606,1,TB10,200,0,195.65
0902817504,1,TB03,1265, ,3672.58
0902817504,1,TB02,1013, ,2940.96
0902817504,1,TB01,2000, ,5806.45
0902883405,1,TB01,1000, ,2903.22
0902883405,1,TB08,1250,1250,1222.82
0902883405,1,TB13,3700,0,1809.78
0903033804,1,TB03,330, ,990
0904071901,1,TB05,1800, ,5225.8
0904071901,1,TB01,300, ,870.96
0904071901,1,TB09,3200,0,3130.43
0904827904,1,TB03,968, ,2810.32
0904827904,1,TB11,1150,0,562.49
0904827904,1,TB08,4830,0,4724.99
0904827904,1,TB05,400, ,1161.29
0904827904,1,TB02,500, ,1451.61
0904827905,1,TB03,1664, ,4830.96
0904827905,1,TB02,1029, ,2987.41
0904827905,1,TB05,2000, ,5806.45
0904848302,1,TB02,1000, ,2903.22
0904848302,1,TB03,700, ,2032.25
0904848303,1,TB01,1500, ,4354.83
0904848303,1,TB04,3000, ,8709.67
0904848305,1,TB03,1473, ,4276.45
0904848306,1,TB04,2000, ,5806.45
0904962206,1,TB08,22017,21417,21538.36
0905020502,1,TB15,2000,2000,978.26
0905020502,1,TB11,10000,0,4891.3
0905020502,1,TB10,17730,1360,17344.56
0905020502,1,TB09,100,0,97.82
0905020502,1,TB08,11000,0,10760.86
0905020502,1,TB07,900, ,2612.9
0905020502,1,TB05,300, ,870.96
0905020502,1,TB04,400, ,1161.29
0905020502,1,TB03,1170, ,3396.77
0905020502,1,TB02,1030, ,2990.32
0905020502,1,TB01,5000, ,14516.12
0905020502,1,TB14,77500,72000,37907.6
0905314001,1,TB13,200,0,97.82
0905314001,1,TB15,20000,0,9782.6
0905314001,1,TR08,1000,0,978.26
0905314001,1,TB01,5000, ,14516.12
0905314001,1,TB08,7100,6100,6945.65
0905314001,1,TB04,1000, ,2903.22
0905314003,1,TB10,30000,0,29347.82
0905314006,1,TB11,8000,0,3913.04
0905327204,1,TB10,680,0,665.21
0905327204,1,TB07,1100, ,3193.54
0905327204,1,TB05,1000, ,2903.22
0905327204,1,TB03,498, ,1445.8
0905327204,1,TB02,537, ,1559.03
0905327204,1,TB01,550, ,1596.77
0905327204,1,TB14,7200,1200,3560.43
0905544405,1,TB03,1000, ,2903.22
0905544405,1,TB08,1000,1000,978.26
0905544405,1,TB01,2000, ,5806.45
0905960403,1,TB10,1500,0,1467.39
0905960403,1,TB11,1200,0,586.95
0906341504,1,TB08,1450,1250,1418.47
0906341504,1,TB03,665, ,1930.64
0906341504,1,TB02,618, ,1794.19
0906341504,1,TB10,3000,0,2934.78
0906475403,1,TB03,1775, ,5153.22
0906475403,1,TB01,5890, ,17099.99
0906475403,1,TB10,890,700,870.65
0906475403,1,TB02,581, ,1686.77
0906475406,1,TB03,783, ,2273.22
0906475406,1,TB02,260, ,754.83
0906580005,1,TB03,200, ,580.64
0906644901,1,TB14,8000,600,3913.04
0906644905,1,TB08,24100,0,23576.08
0906657306,1,TB13,2200,2200,1076.08
0906688202,1,TB10,8300,0,8119.56
0906881605,1,TB03,2235, ,6705
0906881605,1,TB01,3000, ,9000
0906881605,1,TB04,250, ,750
0906881605,1,TB05,2465, ,7395
0906881605,1,TR01,1500, ,4500
0906881605,1,TB02,977, ,2931
0906881605,1,TB07,2752, ,8256
0906881605,1,TB08,2595,120,2538.58
0906881605,1,TB09,30,30,29.34
0906973203,1,TB07,450, ,1306.45
0906973204,1,TB12,2999,2999,1483.02
0906973204,1,TB08,2500,2500,2445.65
0906973204,1,TB03,1500, ,4354.83
0906973204,1,TB07,1309, ,3800.32
0906973205,1,TB12,1333,1333,659.17
0906973205,1,TB11,6000,2000,2967.03
0906973205,1,TB10,9000,3000,8804.34
0906973205,1,TB01,2000, ,5806.45
0906973206,1,TB11,1750,550,865.38
0906973206,1,TB07,2240, ,6503.22
0906973206,1,TB01,3000, ,8709.67
0907549202,1,TB03,327, ,949.35
0907549202,1,TB05,400, ,1161.29
0907549202,1,TB08,2454,0,2400.65
0907549202,1,TB10,250,0,244.56
0907549202,1,TB02,161, ,467.41
0907590706,1,TB02,1000, ,3000
0907590706,1,TB03,500, ,1500
0907590706,1,TB07,700, ,2100
0907590706,1,TR01,500, ,1500
0907590706,1,TB01,2000, ,6000
0907613703,1,TB14,12900,2150,6344.26
0907613703,1,TB13,30000,5000,14754.09
0907613703,1,TB11,9000,9000,4426.22
0907613703,1,TB07,3500, ,10500
0907613703,1,TB04,8000, ,24000
0907613704,1,TB01,2000, ,6000
0907877401,1,TB02,204, ,592.25
0907877401,1,TB01,1500, ,4354.83
0907877401,1,TB03,970, ,2816.12
0907877401,1,TB07,399, ,1158.38
0907877401,1,TB10,400,0,391.3
0907877403,1,TB01,2000, ,5806.45
0907877403,1,TB02,260, ,754.83
0907877403,1,TB03,676, ,1962.58
0907877403,1,TB10,300,100,293.47
0907877404,1,TB03,318, ,923.22
0907877404,1,TB02,391, ,1135.16
0907877404,1,TB08,500,0,489.13
0907877405,1,TB03,2090, ,6067.74
0907877405,1,TB08,3300,950,3228.26
0907877405,1,TB10,500,0,489.13
0907877405,1,TB02,1280, ,3716.12
0907877405,1,TB01,2000, ,5806.45
0907961901,1,TB11,7400,1232,3619.56
0908103003,1,TR01,500, ,1451.61
0908103003,1,TB07,2410, ,6996.77
0908103003,1,TB05,3000, ,8709.67
0908103003,1,TB03,1541, ,4473.87
0908103003,1,TB02,1144, ,3321.29
0908103003,1,TB01,4300, ,12483.87
0908568401,1,TB09,1550,1550,1516.3
0908568401,1,TB12,1500,1500,733.69
0908568401,1,TB08,700,700,684.78
0908568401,1,TB07,2100, ,6096.77
0908568401,1,TB06,500, ,1451.61
0908568401,1,TB05,1472, ,4273.54
0908568401,1,TB03,1505, ,4369.35
0908568401,1,TB02,991, ,2877.09
0908767201,1,TB01,690, ,2003.22
0908767201,1,TB02,580, ,1683.87
0908767201,1,TB03,1155, ,3353.22
0908767201,1,TB04,400, ,1161.29
0908767201,1,TB07,1430, ,4151.61
0908792701,1,TB05,2600, ,7800
0908792706,1,TB11,700,700,344.26
0908792706,1,TB12,12000,2000,5901.63
0909369903,1,TB12,2000,1000,978.26
0909386304,1,TB08,1200,1200,1173.91
0909386304,1,TB12,5000,0,2445.65
0909386304,1,TB06,300, ,870.96
0909428204,1,TB05,700, ,2032.25
0909428204,1,TB07,990, ,2874.19
0909428204,1,TB11,4600,1000,2274.72
0909762205,1,TB12,6000,499,2967.03
0909762205,1,TB08,200,200,195.65
0909762205,1,TB02,144, ,418.06
0909762205,1,TB03,1253, ,3637.74
0909815801,1,TB04,365, ,1095
0909815801,1,TB07,216, ,648
0909815801,1,TB08,1915,0,1873.36
0909815801,1,TB10,1500,1500,1467.39
0909815801,1,TB02,585, ,1755
0909815801,1,TB01,3500, ,10500
0909815801,1,TB03,593, ,1779
0909815805,1,TB01,4000, ,12000
0909815805,1,TB02,270, ,810
0909815805,1,TB03,1111, ,3333
0909815805,1,TB07,930, ,2790
0909815805,1,TB08,4800,1600,4695.65
0909815805,1,TB10,2400,2400,2347.82
0909815805,1,TB11,1700,1700,836.06
0909815805,1,TR01,1300, ,3900
0911096606,1,TB13,20000,10000,9836.06
0911124401,1,TB12,5600,933,2739.13
0911215301,1,TB13,10000,0,4891.3
0911215301,1,TB10,700,700,684.78
0911215301,1,TB04,100, ,290.32
0911219402,1,TB08,500,500,489.13
0911219404,1,TB01,3200, ,9290.32
0911219404,1,TB02,1909, ,5542.25
0911219404,1,TB12,20000,0,9782.6
0911219404,1,TB05,7000, ,20322.58
0911219404,1,TB10,22934,7378,22435.43
0911219404,1,TB11,1600,0,782.6
0911219404,1,TB13,6300,4700,3081.52
0911219404,1,TB03,624, ,1811.61
0911335902,1,TB07,300, ,870.96
0911435602,1,TB11,6000,6000,2950.81
0911528403,1,TB11,300,300,146.73
0911572302,1,TB08,2400,2400,2347.82
0911572302,1,TB11,10000,0,4891.3
0911572304,1,TB05,1000, ,2903.22
0911718702,1,TB07,500, ,1500
0911759504,1,TB12,6000,3000,2934.78
0911776603,1,TB03,244, ,732
0911776603,1,TB02,365, ,1095
0912034806,1,TB10,82035,20400,80251.63
0912034806,1,TB12,11000,500,5409.83
0912034806,1,TB13,3000,250,1475.4
0912034806,1,TB07,1660, ,4980
0912048904,1,TB03,770, ,2235.48
0912048904,1,TB04,700, ,2032.25
0912048904,1,TR01,2000, ,5806.45
0912048904,1,TB02,516, ,1498.06
0912048904,1,TB01,4000, ,11612.9
0912048905,1,TR01,1000, ,2903.22
0912048905,1,TB08,21640,10465,21169.56
0912048905,1,TB07,1140, ,3309.67
0912048905,1,TB04,1000, ,2903.22
0912048905,1,TB03,1000, ,2903.22
0912048905,1,TB02,527, ,1529.99
0912048905,1,TB01,6000, ,17419.35
0912076305,1,TB03,220, ,638.7
0912076305,1,TB13,1400,1400,684.78
0912076305,1,TB01,1000, ,2903.22
0912080001,1,TB04,2500, ,7258.06
0912080004,1,TB14,220,0,107.6
0912080004,1,TB07,1040, ,3019.35
0912080004,1,TB10,10500,10500,10271.73
0912080004,1,TB05,200, ,580.64
0912080006,1,TB10,12000,0,11739.13
0912080006,1,TB12,5000,0,2445.65
0912262603,1,TB08,615,0,601.63
0912262603,1,TB07,700, ,2100
0912262603,1,TB10,105,0,102.71
0912262603,1,TB02,960, ,2880
0912262603,1,TB03,801, ,2403
0912262604,1,TB02,489, ,1467
0912262604,1,TB01,2000, ,6000
0912262604,1,TB03,1454, ,4362
0912422403,1,TB03,364, ,1056.77
0912422403,1,TB02,291, ,844.83
0912422403,1,TB14,3000,0,1467.39
0912422403,1,TB01,4000, ,11612.9
0912422403,1,TB05,500, ,1451.61
0912422404,1,TB02,356, ,1033.54
0912422404,1,TB13,3100,0,1516.3
0912422404,1,TB11,4200,4200,2054.34
0912422404,1,TB14,6000,0,2934.78
0912422406,1,TB11,4500,0,2201.08
0912422406,1,TB15,6000,0,2934.78
0913603501,1,TB02,175, ,508.06
0913603501,1,TB03,503, ,1460.32
0913948002,1,TB01,4000, ,11612.9
0913948002,1,TB11,5400,0,2641.3
0913948006,1,TB01,2000, ,5806.45
0913948006,1,TB02,277, ,804.19
0913948006,1,TB03,397, ,1152.58
0913993203,1,TB04,1950, ,5661.29
0913993203,1,TB07,2730, ,7925.8
0913993203,1,TB08,2600,0,2543.47
0913993203,1,TB10,1300,900,1271.73
0913993203,1,TB11,20000,0,9890.1
0913993203,1,TB12,3900,0,1928.57
0913993203,1,TB13,22500,0,11126.37
0913993203,1,TR10,500,0,489.13
0914037606,1,TB03,1665, ,4995
0914037606,1,TB01,6440, ,19320
0914037606,1,TB08,1900,1900,1858.69
0914037606,1,TB10,2100,0,2054.34
0914037606,1,TB04,500, ,1500
0914037606,1,TB05,800, ,2400
0914123502,1,TB05,1800, ,5225.8
0914123502,1,TB08,1350,0,1320.65
0914123502,1,TB11,3300,0,1614.13
0914123505,1,TB04,525, ,1524.19
0914123505,1,TB15,96000,16000,46956.52
0914123505,1,TB10,45000,15000,44021.73
0914123505,1,TB03,1159, ,3364.83
0914123505,1,TB06,1700, ,4935.48
0914123505,1,TB07,4450, ,12919.35
0914123505,1,TB02,943, ,2737.74
0914233602,1,TB02,420, ,1260
0914233602,1,TB03,1087, ,3261
0914233603,1,TB02,1172, ,3516
0914233603,1,TB03,942, ,2826
0914233603,1,TB05,1600, ,4800
0914233603,1,TB07,1200, ,3600
0914233603,1,TB10,2280,950,2230.43
0914233603,1,TB14,22900,5300,11262.29
0914492902,1,TB12,14700,0,7190.21
0914573001,1,TB10,933,0,912.71
0914573002,1,TB02,281, ,815.8
0914573002,1,TB03,474, ,1376.12
0914573002,1,TB04,4140, ,12019.35
0914573004,1,TB07,1500, ,4354.83
0914573006,1,TB08,4500,2650,4402.17
0914671204,1,TB04,24000, ,69677.41
0914820803,1,TB04,250, ,750
0914820803,1,TB08,3710,550,3629.34
0914820803,1,TB07,1350, ,4050
0914966202,1,TB01,2000, ,5806.45
0915046704,1,TB08,3594,0,3515.86
0915046705,1,TB08,3248,0,3177.39
0915046705,1,TB11,7000,0,3442.62
0915325502,1,TB05,300, ,870.96
0915325502,1,TB08,6600,2700,6456.52
0915325506,1,TB07,650, ,1887.09
0915325506,1,TB05,1000, ,2903.22
0915325506,1,TB03,314, ,911.61
0915325506,1,TB02,318, ,923.22
0915325506,1,TB12,9250,9000,4524.45
0915325506,1,TB08,1310,0,1281.52
0915325506,1,TB10,700,0,684.78
0915325506,1,TB01,1661, ,4822.25
0915390404,1,TB08,5100,1500,4989.13
0915390406,1,TB10,1250,1250,1222.82
0915390406,1,TB11,2400,400,1173.91
0915390406,1,TB05,2500, ,7258.06
0915390406,1,TB07,1300, ,3774.19
0915390406,1,TB01,830, ,2409.67
0915390406,1,TB12,13000,0,6358.69
0915390406,1,TB02,160, ,464.51
0915390406,1,TB13,3500,0,1711.95
0915390406,1,TB03,800, ,2322.58
0915390406,1,TB08,4800,500,4695.65
0915390406,1,TB09,425,425,415.76
0915567902,1,TB13,10000,0,4891.3
0915567902,1,TB03,3170, ,9203.22
0915567902,1,TB02,835, ,2424.19
0915645601,1,TB01,6700, ,20100
0915645601,1,TB02,830, ,2490
0915645601,1,TB03,864, ,2592
0915645601,1,TB08,1000,1000,978.26
0915645601,1,TB10,5610,0,5488.04
0915645601,1,TR01,900, ,2700
0915815205,1,TB12,13000,13000,6428.57
0915815205,1,TB11,7000,7000,3461.53
0915852701,1,TB04,2550, ,7650
0915852701,1,TB10,18000,6000,17608.69
0915852702,1,TB05,800, ,2400
0915999802,1,TB02,806, ,2418
0915999802,1,TB10,11900,1800,11641.3
0915999802,1,TB08,4450,3150,4353.26
0915999802,1,TB03,914, ,2742
0915999802,1,TB04,4300, ,12900
0915999803,1,TB02,642, ,1926
0915999803,1,TB03,1910, ,5730
0915999803,1,TB08,1310,1310,1281.52
0916039501,1,TB09,4800,1600,4695.65
0916039501,1,TB02,526, ,1527.09
0916039501,1,TB03,373, ,1082.9
0916039501,1,TB08,480,480,469.56
0916039501,1,TB01,1200, ,3483.87
0916370202,1,TB02,1086, ,3152.9
0916370204,1,TB12,7000,7000,3461.53
0916370204,1,TB10,709,709,693.58
0916370204,1,TB11,300,300,148.35
0916370204,1,TB02,690, ,2003.22
0916370204,1,TB03,2445, ,7098.38
0916370204,1,TB08,15180,15180,14849.99
0916370204,1,TB09,480,480,469.56
0916444601,1,TB08,6990,0,6838.04
0916444602,1,TB12,7499,0,3688.03
0916444604,1,TB11,8000,0,3934.42
0916444604,1,TB08,7775,0,7605.97
0916494806,1,TB14,14000,14000,6885.24
0916513403,1,TB09,1800,300,1760.86
0916644201,1,TB11,700,700,346.15
0916644204,1,TB08,1500,1500,1467.39
0916644204,1,TB03,430, ,1248.38
0916644204,1,TB02,244, ,708.38
0916644204,1,TB01,2500, ,7258.06
0916644204,1,TB12,382,382,188.9
0916991702,1,TB11,1134,0,557.7
0917077601,1,TB10,800,800,782.6
0917077601,1,TB02,664, ,1992
0917077601,1,TB03,465, ,1395
0917077601,1,TB05,800, ,2400
0917077601,1,TB07,1900, ,5700
0917077601,1,TB01,8000, ,24000
0917077602,1,TB10,400,400,391.3
0917077602,1,TB03,83, ,249
0917077602,1,TB02,380, ,1140
0917077602,1,TB07,375, ,1125
0917077606,1,TB02,411, ,1233
0917077606,1,TB12,2000,0,983.6
0917077606,1,TB09,139,139,135.97
0917077606,1,TB08,1200,1200,1173.91
0917077606,1,TB07,1500, ,4500
0917077606,1,TB05,4000, ,12000
0917077606,1,TB03,606, ,1818
0917077606,1,TB01,13000, ,39000
0917077606,1,TB15,60000,10000,29508.19
0917077606,1,TB14,7700,700,3786.88
0917095803,1,TB10,8200,4200,8021.73
0917095804,1,TB04,4500, ,13500
0917095804,1,TB10,3500,3500,3423.91
0917095804,1,TB05,500, ,1500
0917095804,1,TB12,6000,6000,2950.81
0917095804,1,TB02,666, ,1998
0917095804,1,TB03,2460, ,7380
0917095804,1,TB07,4200, ,12600
0917417302,1,TB12,3299,0,1613.64
0917417302,1,TR01,1000, ,2903.22
0917417305,1,TB08,600,0,586.95
0917662201,1,TB04,3500, ,10161.29
0917662203,1,TB13,500,500,247.25
0917662203,1,TB01,500, ,1451.61
0917662204,1,TB01,200, ,580.64
0917662205,1,TB03,300, ,870.96
0917704702,1,TB08,1750,950,1711.95
0917704702,1,TB07,900, ,2700
0917704702,1,TB01,1000, ,3000
0917804804,1,TB01,1000, ,3000
0917862902,1,TB12,1200,200,586.95
0917862902,1,TB11,1000,0,489.13
0917862902,1,TB10,440,400,430.43
0917862902,1,TB09,5250,645,5135.86
0917862902,1,TB08,1512,712,1479.13
0917862902,1,TB06,500, ,1451.61
0917862902,1,TB04,200, ,580.64
0917862902,1,TB03,307, ,891.29
0917862902,1,TB02,120, ,348.38
0917862902,1,TB01,1500, ,4354.83
0917862904,1,TB08,4800,800,4695.65
0917862904,1,TB09,180,180,176.08
0917862904,1,TB10,300,100,293.47
0917862904,1,TB02,375, ,1088.7
0917862904,1,TB03,908, ,2636.12
0917862904,1,TB11,180,0,88.04
0917862904,1,TB06,1350, ,3919.35
0917862904,1,TB04,5800, ,16838.7
0917862905,1,TB02,1332, ,3867.09
0917862905,1,TB03,1425, ,4137.09
0917862905,1,TB04,3500, ,10161.29
0917862905,1,TB01,2000, ,5806.45
0917862905,1,TB10,4000,0,3913.04
0917862905,1,TB08,3730,230,3648.91
0917862906,1,TB02,847, ,2459.03
0917862906,1,TB03,320, ,929.03
0917862906,1,TB08,2000,0,1956.52
0917862906,1,TB10,500,0,489.13
0917862906,1,TB01,3000, ,8709.67
0918111005,1,TB11,2000,2000,978.26
0918111005,1,TB08,1700,1700,1663.04
0918111005,1,TB04,1000, ,2903.22
0918111005,1,TB13,4000,4000,1956.52
0918159301,1,TB07,1820, ,5283.87
0918159301,1,TB05,1200, ,3483.87
0918159301,1,TB03,736, ,2136.77
0918159301,1,TB02,224, ,650.32
0918159301,1,TB08,3818,3818,3734.99
0918159304,1,TB02,413, ,1199.03
0918159304,1,TB03,308, ,894.19
0918159304,1,TB05,200, ,580.64
0918159304,1,TB07,1398, ,4058.7
0918159304,1,TB08,997,997,975.32
0918159305,1,TB02,447, ,1297.74
0918159305,1,TB03,1207, ,3504.19
0918159305,1,TB10,97,97,94.89
0918159305,1,TB07,2010, ,5835.48
0918159305,1,TB05,1500, ,4354.83
0918161702,1,TB08,700,350,684.78
0918218502,1,TB07,2090, ,6067.74
0918218502,1,TB05,3000, ,8709.67
0918218502,1,TB01,8500, ,24677.41
0918218502,1,TB08,5510,770,5390.21
0918218502,1,TB10,1597,97,1562.28
0918218502,1,TB04,2800, ,8129.03
0918218502,1,TB02,1511, ,4386.77
0918218502,1,TB03,1117, ,3242.9
0918218502,1,TR01,500, ,1451.61
0918218506,1,TB01,8000, ,23225.8
0918218506,1,TR01,3000, ,8709.67
0918367603,1,TB10,1500,0,1467.39
0918367603,1,TB07,1700, ,5100
0918367603,1,TB08,4480,0,4382.6
0918367603,1,TB12,5000,0,2459.01
0918367603,1,TB13,2750,0,1352.45
0918367603,1,TB03,250, ,750
0918367603,1,TB02,30, ,90
0918586301,1,TB06,400, ,1161.29
0918586301,1,TB03,545, ,1582.25
0918586301,1,TB02,540, ,1567.74
0918586301,1,TB01,800, ,2322.58
0918586301,1,TB10,900,100,880.43
0918586306,1,TB02,190, ,551.61
0918586306,1,TB07,550, ,1596.77
0918586306,1,TB08,1900,650,1858.69
0918586306,1,TB10,150,0,146.73
0918586306,1,TB01,1000, ,2903.22
0918586306,1,TB03,1033, ,2999.03
0918618006,1,TB08,11000,6550,10760.86
0918618006,1,TB03,1553, ,4508.7
0918618006,1,TB02,790, ,2293.54
0918838504,1,TB03,1027, ,2981.61
0918838504,1,TB02,562, ,1631.61
0918887604,1,TB12,5499,0,2704.42
0918887604,1,TB11,5999,0,2950.32
0918887604,1,TB03,225, ,675
0918887604,1,TB02,1367, ,4101
0918934804,1,TB03,1114, ,3342
0918934806,1,TB13,4000,0,1967.21
0918934806,1,TB12,10000,0,4918.03
0918942402,1,TB01,800, ,2322.58
0918942404,1,TB02,822, ,2386.45
0918942404,1,TB07,320, ,929.03
0918942404,1,TB03,1187, ,3446.12
0918987903,1,TB12,3000,0,1467.39
0919037003,1,TB03,1168, ,3390.96
0919037003,1,TB02,910, ,2641.93
0919037003,1,TB05,3000, ,8709.67
0919037004,1,TB13,30000,0,14673.91
0919037004,1,TB02,1000, ,2903.22
0919037004,1,TB12,4000,0,1956.52
0919037004,1,TB03,1000, ,2903.22
0919037004,1,TB05,2000, ,5806.45
0919037004,1,TB08,21150,2750,20690.21
0919037004,1,TB11,6400,0,3130.43
0919037005,1,TB03,880, ,2554.83
0919037005,1,TB01,700, ,2032.25
0919037005,1,TB02,895, ,2598.38
0919174702,1,TB10,3100,3100,3032.6
0919174706,1,TB07,3550, ,10650
0919174706,1,TB10,1800,0,1760.86
0919174706,1,TB08,16900,13900,16532.6
0919174706,1,TB04,3000, ,9000
0919174706,1,TB03,830, ,2490
0919174706,1,TB02,2097, ,6291
0919174706,1,TB01,5000, ,15000
0919174706,1,TB06,750, ,2250
0919242503,1,TB10,120,0,117.39
0919242503,1,TR01,600, ,1741.93
0919242503,1,TR08,800,800,782.6
0919242503,1,TB04,230, ,667.74
0919242503,1,TB08,300,0,293.47
0919242503,1,TB01,500, ,1451.61
0919242503,1,TB02,210, ,609.67
0919375402,1,TB02,170, ,493.54
0919375402,1,TB03,120, ,348.38
0919375402,1,TB09,150,150,146.73
0919392905,1,TB12,1000,500,489.13
0919392905,1,TB03,240, ,696.77
0919392905,1,TB02,200, ,580.64
0919392905,1,TB13,4000,0,1956.52
0919443302,1,TB10,140,0,136.95
0919443302,1,TB07,1633, ,4740.96
0919443302,1,TB01,800, ,2322.58
0919443304,1,TB13,15256,15256,7462.17
0919443304,1,TB11,14900,0,7288.04
0919443304,1,TB08,3830,0,3746.73
0919510005,1,TB08,6957,0,6805.76
0919510006,1,TB10,1074,1074,1050.65
0919536205,1,TB01,200, ,580.64
0919663706,1,TB04,600, ,1800
0919663706,1,TB01,6000, ,18000
0919663706,1,TR01,2000, ,6000
