folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
0100839905,1,TB07,500, ,1451.61
0100839905,1,TB10,861,290,842.28
0100839905,1,TB11,1879,379,919.07
0100851301,1,TB09,3600,3600,3521.73
0100851304,1,TB05,7000, ,20322.58
0100856004,1,TB10,500,0,489.13
0100856004,1,TB02,88, ,255.48
0100856004,1,TB03,174, ,505.16
0100862204,1,TB08,1950,0,1907.6
0100903601,1,TB08,1800,0,1760.86
0100903601,1,TB09,1000,1000,978.26
0100903601,1,TB10,1800,1800,1760.86
0100903601,1,TB11,1500,1500,737.7
0100903601,1,TB13,3350,850,1647.54
0100903601,1,TB01,6300, ,18900
0100903601,1,TB07,550, ,1650
0100905803,1,TB14,3570,510,1755.73
0100905803,1,TB11,1260,0,619.67
0100905803,1,TB07,1100, ,3300
0100905803,1,TB05,1200, ,3600
0100905803,1,TB03,1039, ,3117
0100905803,1,TB13,6300,0,3098.36
0100905803,1,TB01,6500, ,19500
0100905803,1,TB02,501, ,1503
0100905803,1,TB10,945,315,924.45
0100907401,1,TB10,29320,8940,28682.6
0100907406,1,TB13,39000,2870,19076.08
0100907406,1,TB08,4600,1200,4499.99
0100924303,1,TB13,1200,0,586.95
0100924305,1,TB12,15000,0,7336.95
0100929203,1,TB08,300,0,293.47
0100929204,1,TB08,2332,1532,2281.3
0100929204,1,TB02,189, ,548.7
0100929204,1,TB11,4113,0,2033.9
0100929206,1,TB08,750,750,733.69
0100929206,1,TB09,1800,1800,1760.86
0100929206,1,TB11,9000,0,4450.54
0100957501,1,TB08,1520,1520,1486.95
0100957505,1,TB12,12000,0,5869.56
0100960501,1,TB03,376, ,1091.61
0100960501,1,TB05,300, ,870.96
0100960501,1,TB02,214, ,621.29
0100960501,1,TB01,2400, ,6967.74
0100970605,1,TB11,2250,0,1106.55
0100972801,1,TB09,8500,8500,8315.21
0100972801,1,TB01,4500, ,13500
0100972804,1,TB08,2000,400,1956.52
0100972804,1,TB01,300, ,900
0100972804,1,TB02,578, ,1734
0100983801,1,TB07,849, ,2547
0100983801,1,TB14,2700,400,1327.86
0100983801,1,TB03,300, ,900
0100983801,1,TB02,260, ,780
0100983801,1,TB01,6000, ,18000
0100983801,1,TB05,1150, ,3450
0100983801,1,TB12,550,550,270.49
0100983803,1,TB01,2000, ,6000
0100983803,1,TB02,220, ,660
0100983803,1,TB03,364, ,1092
0100983803,1,TB08,6730,3880,6583.69
0100983803,1,TB11,4900,0,2409.83
0100983803,1,TB12,25000,0,12295.08
0100983803,1,TB10,835,835,816.84
0100983804,1,TB02,120, ,360
0100992903,1,TB12,1300,1200,635.86
0100992903,1,TB01,1500, ,4354.83
0100992904,1,TB12,33000,1600,16141.3
0100992904,1,TB01,2000, ,5806.45
0100992905,1,TB12,4000,4000,1956.52
0100992905,1,TB11,1300,1300,635.86
0100992905,1,TB10,1600,1600,1565.21
0100992905,1,TB03,597, ,1733.22
0100992905,1,TB09,1370,1370,1340.21
0100992905,1,TB01,4000, ,11612.9
0100992905,1,TB02,183, ,531.29
0100992906,1,TB01,2000, ,5806.45
0100992906,1,TB07,850, ,2467.74
0100995304,1,TB05,600, ,1741.93
0100995304,1,TB08,500,0,489.13
0100995304,1,TB10,620,0,606.52
0101014504,1,TB01,2000, ,5806.45
0101014504,1,TB02,380, ,1103.22
0101014504,1,TB08,2060,2060,2015.21
0101014504,1,TB14,1100,0,538.04
0101014504,1,TB03,315, ,914.51
0101014506,1,TB15,12000,4000,5869.56
0101014506,1,TB08,350,350,342.39
0101037806,1,TB08,999,999,977.28
0101072301,1,TB08,135,135,132.06
0101083203,1,TB11,800,400,395.6
0101103701,1,TB07,353, ,1059
0101103701,1,TB11,700,0,344.26
0101135502,1,TB12,8400,1000,4108.69
0101171401,1,TB08,600,600,586.95
0101211001,1,TB12,10000,10000,4891.3
0101304703,1,TR08,800,800,782.6
0101304703,1,TB13,980,0,481.96
0101304703,1,TB12,10200,10200,5016.39
0101304703,1,TB08,935,935,914.67
0101304703,1,TB05,2500, ,7500
0101304703,1,TB03,450, ,1350
0101304703,1,TB02,502, ,1506
0101304703,1,TB01,5000, ,15000
0101304703,1,TB11,6600,0,3245.9
0101304704,1,TR04,5000, ,15000
0101304704,1,TR03,90, ,270
0101304704,1,TB02,375, ,1125
0101304704,1,TB03,452, ,1356
0101304704,1,TR08,3500,3500,3423.91
0101304704,1,TB14,25800,4300,12688.52
0101304704,1,TB12,500,500,245.9
0101304704,1,TB06,1400, ,4200
0101304704,1,TB05,1200, ,3600
0101304704,1,TB04,250, ,750
0101308502,1,TB11,480,480,234.78
0101308502,1,TB10,2170,2170,2122.82
0101308502,1,TB08,1400,1400,1369.56
0101308502,1,TB01,900, ,2612.9
0101435204,1,TB02,1508, ,4378.06
0101435204,1,TB03,1270, ,3687.09
0101435204,1,TB08,2360,0,2308.69
0101435205,1,TB02,607, ,1762.25
0101435205,1,TB01,5000, ,14516.12
0101435205,1,TB03,900, ,2612.9
0101435205,1,TB08,3690,3690,3609.78
0101435205,1,TB11,8000,8000,3956.04
0101435205,1,TR01,1500, ,4354.83
0101435205,1,TR08,900,900,880.43
0101439505,1,TB07,600, ,1741.93
0101439506,1,TB10,3130,1580,3061.95
0101439506,1,TB13,2500,0,1222.82
0101439506,1,TB01,950, ,2758.06
0101439506,1,TB02,220, ,638.7
0101439506,1,TB07,5308, ,15410.32
0101439506,1,TB09,820,0,802.17
0101466303,1,TB11,4750,0,2323.36
0101466303,1,TB12,3000,0,1467.39
0101476903,1,TB08,1400,0,1369.56
0101476905,1,TB08,299,299,292.49
0101502501,1,TB04,400, ,1161.29
0101524006,1,TB05,200, ,580.64
0101524006,1,TB07,1220, ,3541.93
0101524006,1,TB11,2000,0,978.26
0101532406,1,TB08,2400,2400,2347.82
0101536201,1,TR12,150,150,74.17
0101536201,1,TR10,3900,1300,3815.21
0101536201,1,TB13,6000,0,2967.03
0101536201,1,TB01,1000, ,2903.22
0101536201,1,TB07,150, ,435.48
0101536204,1,TB14,7800,5000,3857.14
0101536204,1,TB02,502, ,1457.41
0101536204,1,TB03,1000, ,2903.22
0101547904,1,TB13,1200,0,586.95
0101552301,1,TB05,5500, ,15967.74
0101552306,1,TB03,700, ,2032.25
0101562702,1,TB03,421, ,1263
0101562702,1,TB02,257, ,771
0101562705,1,TB13,2800,0,1377.04
0101562705,1,TB01,4000, ,12000
0101562705,1,TB05,3000, ,9000
0101562705,1,TB03,810, ,2430
0101562705,1,TB02,1138, ,3414
0101562705,1,TB09,19000,0,18586.95
0101562705,1,TB08,1440,340,1408.69
0101610405,1,TB01,2000, ,5806.45
0101617902,1,TB02,4800, ,13935.48
0101631003,1,TB08,440,160,430.43
0101631003,1,TB11,6700,2700,3277.17
0101644503,1,TB09,130,130,127.17
0101681304,1,TB13,2800,0,1369.56
0101712003,1,TB08,2400,2400,2347.82
0101712006,1,TB12,5000,0,2445.65
0101713201,1,TB12,1300,0,642.85
0101713201,1,TB01,2200, ,6387.09
0101713202,1,TB15,2400,400,1186.81
0101713204,2,TB12,750,125,370.87
0101713205,1,TB07,1000, ,2903.22
0101713205,1,TB11,12000,0,5934.06
0101713205,1,TR08,400,0,391.3
0101736802,1,TB08,13400,0,13108.69
0101736805,1,TB12,560,0,275.4
0101736805,1,TB13,6700,0,3295.08
0101736805,1,TB08,4600,3000,4499.99
0101736805,1,TB07,660, ,1980
0101736805,1,TB04,800, ,2400
0101736805,1,TB03,1500, ,4500
0101736805,1,TB01,5000, ,15000
0101736806,1,TB13,3000,3000,1475.4
0101741605,1,TB12,8000,0,3934.42
0101741605,1,TB13,1800,0,885.24
0101773901,1,TB08,1200,1200,1173.91
0101786702,1,TB05,2558, ,7674
0101786705,1,TB08,900,900,880.43
0101786705,1,TB10,7800,3800,7630.43
0101786705,1,TB11,6500,2500,3196.72
0101786705,1,TB13,8150,2100,4008.19
0101786705,1,TB07,949, ,2847
0101786705,1,TB05,2380, ,7140
0101786705,1,TB14,7200,1200,3540.98
0101786705,1,TB03,1724, ,5172
0101786705,1,TB04,9169, ,27507
0101786705,1,TB02,1027, ,3081
0101803506,1,TB08,2000,0,1956.52
0101807403,1,TB01,4800, ,13935.48
0101807403,1,TB02,234, ,679.35
0101807403,1,TB03,498, ,1445.8
